project,Kr_cm3_per_cm3_value,Kr_cm3_per_cm3_error,Xe_cm3_per_cm3_value,Xe_cm3_per_cm3_error,selectivity,PLD,LCD,density_g_cm3
f1_toc_35_1x1x1,21.9681053,0.145036526,45.54507359,0.669707059,2.073236311,5.4055,7.80098,0.964715
f1_jus_68_1x1x1,19.52068793,0.558390215,39.77548287,0.33055369,2.037606616,8.46364,11.10045,0.692412
f4_msw_53_1x1x1,6.545587608,0.048030008,6.104162626,0.051518199,0.932561443,7.68911,10.62771,0.486468
f5_hea_216_1x1x1,5.038593149,0.087882793,4.116906306,0.043363502,0.817074565,11.24098,18.60206,0.279457
f5_ssb_269_1x1x1,8.775253461,0.167658513,12.01580201,0.294389306,1.369282616,12.34008,20.60766,0.388437
f7_tpt_95_1x1x1,9.287972861,1.512019833,20.00674346,1.230029806,2.154048441,1.21931,5.00376,1.62162
f1_wbl_105_1x1x1,4.091061222,0.039485522,3.664397306,0.041488073,0.895708254,19.3198,21.03149,0.216569
f1_smt_40_1x1x1,6.109419156,0.052411215,5.728787661,0.128546463,0.937697597,12.40002,13.51851,0.692353
f7_ubo_372_1x1x1,4.605641999,0.077592531,3.614908925,0.024381253,0.784887085,10.63433,13.09884,0.382133
f3_wiu_48_1x1x1,14.10571258,0.097264818,22.02064561,0.057141275,1.561115434,4.76855,6.75424,0.959887
f6_wkm_22_1x1x1,5.210037785,0.107607135,5.048438957,0.11315546,0.968983175,29.51871,30.42461,0.475943
f5_icd_585_1x1x1,14.15305458,1.192984985,47.24563488,1.475849078,3.338193505,1.55206,5.82116,1.18619
f1_ocu_25_1x1x1,17.02751121,0.212128529,34.90516171,0.242689011,2.049927396,1.84834,9.24176,1.26933
f6_umx_1_1x1x1,2.786784607,0.044806061,1.714060856,0.035810725,0.615067577,26.26398,27.33855,0.247436
f7_stp_352_1x1x1,4.35406376,0.040659475,3.918737823,0.100421789,0.900018475,30.60597,31.32447,0.244869
f6_wkf_21_1x1x1,3.178690886,0.015419267,2.02206446,0.018944039,0.636131204,13.34972,17.38345,0.332014
f7_ith_45_1x1x1,6.380360699,0.092007299,5.608365514,0.075405757,0.87900446,7.52762,10.71775,0.462619
f5_sqc_205_1x1x1,6.957210423,0.058247944,6.92507284,0.10131654,0.99538068,11.16597,15.34779,0.37415
f7_sab_56_1x1x1,5.36821577,0.056464929,4.726594098,0.109664274,0.880477667,14.0396,17.16058,0.350825
f6_vmf_21_1x1x1,3.093204842,0.050225434,1.927593642,0.024312611,0.623170382,13.39412,18.24067,0.311848
f7_scu_180_1x1x1,4.565953693,0.054933828,3.723075375,0.049324845,0.815399285,14.87029,15.7193,0.520054
f1_wbl_283_1x1x1,5.901026103,0.115602153,6.51749775,0.125076758,1.104468551,16.85823,18.68683,0.294782
f4_acs_20_1x1x1,6.451755816,0.07811511,5.764965856,0.077377316,0.893549914,11.05941,13.15793,0.437517
f6_rkf_74_1x1x1,8.073055692,0.285488516,9.277397267,0.450384765,1.149180387,11.82517,15.85679,0.407991
f3_wmi_33_1x1x1,7.018302872,0.070957138,7.690636642,0.10019374,1.095797201,6.28872,12.56716,0.724556
f1_ukt_19_1x1x1,4.964747176,0.071052064,8.051490716,0.231573941,1.621732272,5.04552,8.14559,1.91401
f1_hwx_94_1x1x1,14.93852268,0.184998396,22.70157803,0.549739154,1.519666871,8.62719,9.68129,0.729503
f3_wmc_20_1x1x1,15.89993469,0.084169819,27.01606317,0.189416515,1.699130449,4.51186,7.38963,1.03765
f6_wmg_8_1x1x1,5.785714596,0.062643339,5.64074495,0.175022078,0.974943519,11.52708,17.9158,0.512181
f4_snw_9_1x1x1,5.85238832,0.036434447,5.293517253,0.032619844,0.904505471,14.70591,16.20454,0.350409
